7.4000001,0.69999999,0,1.9,0.075999998,11,34,0.99779999,3.51,0.56,9.3999996,5
7.8000002,0.88,0,2.5999999,0.097999997,25,67,0.99680001,3.2,0.68000001,9.8000002,5
7.8000002,0.75999999,0.039999999,2.3,0.092,15,54,0.99699998,3.26,0.64999998,9.8000002,5
11.2,0.28,0.56,1.9,0.075000003,17,60,0.99800003,3.1600001,0.57999998,9.8000002,6
7.4000001,0.69999999,0,1.9,0.075999998,11,34,0.99779999,3.51,0.56,9.3999996,5
7.4000001,0.66000003,0,1.8,0.075000003,13,40,0.99779999,3.51,0.56,9.3999996,5
7.9000001,0.60000002,0.059999999,1.6,0.068999998,15,59,0.9964,3.3,0.46000001,9.3999996,5
7.3000002,0.64999998,0,1.2,0.064999998,15,21,0.9946,3.3900001,0.47,10,7
7.8000002,0.57999998,0.02,2,0.072999999,9,18,0.99680001,3.3599999,0.56999999,9.5,7
7.5,0.5,0.36000001,6.0999999,0.071000002,17,102,0.99779999,3.3499999,0.80000001,10.5,5
6.6999998,0.57999998,0.079999998,1.8,0.097000003,15,65,0.99589998,3.28,0.54000002,9.1999998,5
7.5,0.5,0.36000001,6.0999999,0.071000002,17,102,0.99779999,3.3499999,0.80000001,10.5,5
5.5999999,0.61500001,0,1.6,0.089000002,16,59,0.99430001,3.5799999,0.51999998,9.8999996,5
7.8000002,0.61000001,0.28999999,1.6,0.114,9,29,0.99739999,3.26,1.5599999,9.1000004,5
8.8999996,0.62,0.18000001,3.8,0.176,52,145,0.99860001,3.1600001,0.88,9.1999998,5
8.8999996,0.62,0.19,3.9000001,0.17,51,148,0.99860001,3.1700001,0.93000001,9.1999998,5
8.5,0.28,0.56,1.8,0.092,35,103,0.99690002,3.3,0.75,10.5,7
8.1000004,0.56,0.28,1.7,0.368,16,56,0.99680001,3.1099999,1.28,9.3000002,5
7.4000001,0.58999997,0.079999998,4.4000001,0.086000003,6,29,0.99739999,3.3800001,0.5,9,4
7.9000001,0.31999999,0.50999999,1.8,0.34099999,17,56,0.99690002,3.04,1.08,9.1999998,6
8.8999996,0.22,0.47999999,1.8,0.077,29,60,0.99680001,3.3900001,0.52999997,9.3999996,6
7.5999999,0.38999999,0.31,2.3,0.082000002,23,71,0.9982,3.52,0.64999998,9.6999998,5
7.9000001,0.43000001,0.20999999,1.6,0.106,10,37,0.99659997,3.1700001,0.91000003,9.5,5
8.5,0.49000001,0.11,2.3,0.083999999,9,67,0.99680001,3.1700001,0.52999997,9.3999996,5
6.9000001,0.40000001,0.14,2.4000001,0.085000001,21,40,0.99680001,3.4300001,0.63,9.6999998,6
6.3000002,0.38999999,0.16,1.4,0.079999998,11,23,0.99550003,3.3399999,0.56,9.3000002,5
7.5999999,0.41,0.23999999,1.8,0.079999998,4,11,0.99620003,3.28,0.58999997,9.5,5
7.9000001,0.43000001,0.20999999,1.6,0.106,10,37,0.99659997,3.1700001,0.91000003,9.5,5
7.0999999,0.70999998,0,1.9,0.079999998,14,35,0.99720001,3.47,0.55000001,9.3999996,5
7.8000002,0.64499998,0,2,0.082000002,8,16,0.9964,3.3800001,0.58999997,9.8000002,6
6.6999998,0.67500001,0.07,2.4000001,0.089000002,17,82,0.99580002,3.3499999,0.54000002,10.1,5
6.9000001,0.685,0,2.5,0.105,22,37,0.99659997,3.46,0.56999999,10.6,6
8.3000002,0.65499997,0.12,2.3,0.082999997,15,113,0.99659997,3.1700001,0.66000003,9.8000002,5
6.9000001,0.60500002,0.12,10.7,0.072999999,40,83,0.9993,3.45,0.51999998,9.3999996,6
5.1999998,0.31999999,0.25,1.8,0.103,13,50,0.9957,3.3800001,0.55000001,9.1999998,5
7.8000002,0.64499998,0,5.5,0.086000003,5,18,0.99860001,3.4000001,0.55000001,9.6000004,6
